function_name,method_name,step,min,n_iter,n_fev,n_gev,converged,time_sec
quadratic,momentum_method,0.100,"2.1333238287102785,-2.5333253607108475",237,1191,238,True,0.004517555236816406
quadratic,momentum_method,0.050,"2.1333194454327207,-2.5333167445763984",226,1136,227,True,0.0038199424743652344
quadratic,momentum_method,0.010,"2.133311537498757,-2.5333126576948883",218,1096,219,True,0.004270315170288086
quadratic,momentum_method,0.005,"2.1333520395772183,-2.533356731914635",215,1081,216,True,0.0034999847412109375
quadratic,momentum_method,0.001,"2.133294003197377,-2.533294003191349",619,3101,620,True,0.009576559066772461
strong_convex,momentum_method,0.100,"1.9629008321091024,2235.0203990327363",4,26,5,False,0.0003018379211425781
strong_convex,momentum_method,0.050,"1.8849269571200502,5861.051061785137",6,36,7,False,0.00035452842712402344
strong_convex,momentum_method,0.010,"1.5000246304957012,-0.020000395881320774",207,1041,208,True,0.003938436508178711
strong_convex,momentum_method,0.005,"1.5001254724038753,-0.020001686266113226",177,891,178,True,0.0033829212188720703
strong_convex,momentum_method,0.001,"1.499962628340369,-0.019999999991879996",410,2056,411,True,0.0074841976165771484
rosenbrock,momentum_method,0.100,"7.008079976882464,-13.512000006943415",3,21,4,False,0.00034236907958984375
rosenbrock,momentum_method,0.050,"-6.106652755755415,5.174763906423019",4,26,5,False,0.000274658203125
rosenbrock,momentum_method,0.010,"29.933689382604378,9.61833999656475",24,126,25,False,0.0006968975067138672
rosenbrock,momentum_method,0.005,"0.5782001715257531,0.8609813505069316",1000,5001,1000,False,0.015276432037353516
rosenbrock,momentum_method,0.001,"0.9954803083435408,0.9909629084760223",1000,5001,1000,False,0.013708829879760742
